Name,Company,City/Region
Front Street Animal Hospital,Vet Strategy,Toronto
Ganaraska Animal Clinic,Vet Strategy,"Port Hope, Ont."
Gander Veterinary Clinic,Vet Strategy,"Gander, N.L."
Gateway Pet Hospital,Vet Strategy,"Kitchener, Ont."
Georgetown Animal Clinic,Vet Strategy,"Georgetown, Ont."
Gillies Grove Animal Hospital,Vet Strategy,"Arnprior, Ont."
Glenora Family Pet Clinic,Vet Strategy,Edmonton
Glenview Animal Hospital,Vet Strategy,Victoria
Golf Glen Veterinary Clinic,Vet Strategy,"Aurora, Ont."
Grand Valley Animal Hospital,Vet Strategy,"Brandon, Man."
Gravenhurst Veterinary Services,Vet Strategy,"Gravenhurst, Ont."
Gray Street Veterinary Services,Vet Strategy,"Espanola, Ont."
Greenboro Veterinary Clinic,Vet Strategy,Ottawa
Green Lane Animal Hospital,Vet Strategy,"Thornhill, Ont."
Grimsby Animal Hospital,Vet Strategy,"Grimsby, Ont."
Guildford Animal Hospital,Vet Strategy,"Surrey, B.C."
Halifax Veterinary Hospital,Vet Strategy,Halifax
Harbour Cities Veterinary Hospital (PetFocus),Vet Strategy,"Dartmouth, N.S."
Hartzel Animal Hospital,Vet Strategy,"St. Catharines, Ont."
Headon Forest Animal Hospital,Vet Strategy,"Burlington, Ont."
Hillcrest Animal Hospital,Vet Strategy,"Trenton, Ont."
Hillside Veterinary Hospital,Vet Strategy,Victoria
Holland Landing Animal Hospital,Vet Strategy,"Holland Landing, Ont."
Huronia Veterinary Emergency Clinic,Vet Strategy,"Barrie, Ont."
Island Veterinary Hospital,Vet Strategy,"Richmond, B.C."
Jane Animal Hospital,Vet Strategy,Toronto
Kamloops Veterinary Clinic,Vet Strategy,"Kamloops, B.C."
Kawartha Veterinary Emergency Clinic (KVEC),Vet Strategy,"Peterborough, Ont."
Kennedy Heights Animal & Bird Hospital,Vet Strategy,"Surrey, B.C."
Killarney Cat Hospital,Vet Strategy,Calgary
Kingston Napanee Spay Neuter Clinic,Vet Strategy,"Kingston, Ont."
Kingston Road Animal Hospital,Vet Strategy,Toronto
Kingston Veterinary Clinic,Vet Strategy,"Kingston, Ont."
Kingston West Veterinary Hospital,Vet Strategy,"Kingston, Ont."
Komoka-Kilworth Animal Clinic,Vet Strategy,"Komoka, Ont."
Lakeshore Animal Health Partners (AHP),Vet Strategy,"Mississauga, Ont."
Langdon Veterinary Clinic,Vet Strategy,"Langdon, Alta."
Lauzon Veterinary Hospital,Vet Strategy,"Windsor, Ont."
Leaside Animal Clinic,Vet Strategy,Toronto
Lennox & Addington Animal Hospital,Vet Strategy,"Napanee, Ont."
Leslieville Animal Hospital,Vet Strategy,Toronto
Lessard Callingwood Veterinary Hospital,Vet Strategy,Edmonton
Limestone City Animal Hospital,Vet Strategy,"Kingston, Ont."
Little Creek Veterinary Clinic,Vet Strategy,Calgary
Lockerby Animal Hospital,Vet Strategy,"Sudbury, Ont."
Lomsnes Veterinary Hospital,Vet Strategy,"Red Deer, Alta."
Manitou Animal Hospital,Vet Strategy,"Kitchener, Ont."
Manzini Animal Hospital,Vet Strategy,"Port Alberni, B.C."
Mayfield Veterinary Clinic,Vet Strategy,"Dufferin, N.B."
McKenzie Veterinary Services,Vet Strategy,Victoria
McKnight Veterinary Hospital,Vet Strategy,Calgary
McLean Animal Hospital,Vet Strategy,"Scarborough, Ont."
McPhillips Animal Hospital,Vet Strategy,Winnipeg
Merritt Animal Hospital,Vet Strategy,"Chatham, Ont."
Mill Bay Veterinary Hospital,Vet Strategy,"Mill Bay, B.C."
Mill Creek Animal Hospital,Vet Strategy,Edmonton
Mission Ridge Animal Hospital,Vet Strategy,"St Albert, Alta."
Mohns Avenue Veterinary Services,Vet Strategy,"Petawawa, Ont."
Moncton Animal Hospital,Vet Strategy,"Moncton, N.B."
Mono Veterinary Clinic,Vet Strategy,"Mono, Ont."
Montgomery Village Veterinary Clinic,Vet Strategy,Calgary
Morinville Veterinary Clinic,Vet Strategy,"Morinville, Alta."
Morrisburg Animal Hospital,Vet Strategy,"Morrisburg, Ont."
Mountain Road Animal Hospital,Vet Strategy,"Moncton, N.B."
Mountain View Veterinary Hospital,Vet Strategy,"Street Surrey, B.C."
Muskoka Animal Hospital,Vet Strategy,"Huntsville, Ont."
Nepean Animal Hospital,Vet Strategy,"Nepean, Ont."
North Hill Animal Hospital,Vet Strategy,"Bolton, Ont."
North Oakville Animal Hospital,Vet Strategy,"Oakville, Ont."
North Town Veterinary Hospital,Vet Strategy,"Brampton, Ont."
Northside Animal Hospital,Vet Strategy,"North Sydney, N.S."
Nottawasaga Valley Veterinary Hospital,Vet Strategy,"Alliston, Ont."
Oakbank Animal Hospital,Vet Strategy,"Oakbank, Man."
Oceanside Animal Hospital,Vet Strategy,"Parksville, B.C."
Onoway Veterinary Clinic,Vet Strategy,"Onoway, Alta."
Orillia Pet Hospital,Vet Strategy,"Orillia, Ont."
Orleans Veterinary Hospital,Vet Strategy,"Orleans, Ont."
Orono Veterinary Hospital,Vet Strategy,"Clarington, Ont."
Osgoode Veterinary Services,Vet Strategy,"Osgoode, Ont."
Pacific Cat Clinic,Vet Strategy,Victoria
Pandosy Village Veterinary Hospital,Vet Strategy,"Kelowna, B.C."
Park Road Veterinary Clinic,Vet Strategy,"Brantford, Ont."
Parkwest Pet Clinic,Vet Strategy,Edmonton
Pembroke Animal Hospital,Vet Strategy,"Pembroke, Ont."
Petroglyph Animal Hospital,Vet Strategy,"Nanaimo, B.C."
PetWorks Veterinary Hospital (PetFocus),Vet Strategy,"Dartmouth, N.S."
Pinnacle Animal Hospital,Vet Strategy,"Renfrew, Ont."
Port Coquitlam Animal Hospital,Vet Strategy,"Port Coquitlam, B.C."
Port Elgin Veterinary Clinic,Vet Strategy,"Port Elgin, Ont."
Prevost Veterinary Clinic,Vet Strategy,"Duncan, B.C."
Princess Animal Hospital,Vet Strategy,"Kingston, Ont."
Queen’s Park Pet Hospital,Vet Strategy,"New Westminster, B.C."
Queensway Veterinary Hospital,Vet Strategy,"Simcoe, Ont."
Richview Animal Hospital,Vet Strategy,"Etobicoke, Ont."
Rimbey Veterinary Clinic,Vet Strategy,"Rimbey, Alta."
Ritson Veterinary Clinic,Vet Strategy,"Oshawa, Ont."
Riverview Animal Health Centre,Vet Strategy,"Riverview, N.B."
Rocky Ridge Pet Hospital,Vet Strategy,Calgary
Roncy Village Veterinary Clinic,Vet Strategy,Toronto
Royal York Animal Hospital,Vet Strategy,"Etobicoke, Ont."
Rutland Pet Hospital,Vet Strategy,"Kelowna, B.C."
Sackville Animal Hospital,Vet Strategy,"Lower Sackville, N.S."
Sardis Animal Hospital,Vet Strategy,"Chilliwack, B.C."
Sears Animal Hospital,Vet Strategy,"London, Ont."
Sechelt Animal Hospital,Vet Strategy,"Sechelt, B.C."
Seneca Animal Clinic,Vet Strategy,"North York, Ont."
Sherbourne Animal Hospital,Vet Strategy,Toronto
Signal Hill Animal Clinic,Vet Strategy,Calgary
Simcoe Animal Hospital,Vet Strategy,"Decou Road, Ont."
Sims Animal Hospital,Vet Strategy,"Kingston, Ont."
South Burnaby Veterinary Hospital,Vet Strategy,"Burnaby, B.C."
South Shore Veterinary Services,Vet Strategy,"Wileville, N.S."
South Windsor Animal Hospital,Vet Strategy,"Windsor, Ont."
Southampton Pet Hospital,Vet Strategy,"Southampton, Ont."
Southern Alberta Veterinary Emergency (SAVE),Vet Strategy,"Okotoks, Alta."
Southglen Veterinary Hospital,Vet Strategy,Winnipeg
Southpointe Pet Hospital,Vet Strategy,Calgary
Springer Animal Hospital,Vet Strategy,"Sturgeon Falls, Ont."
Spryfield Animal Hospital,Vet Strategy,Halifax
Strathmore Veterinary Clinic,Vet Strategy,"Strathmore, Alta."
St. Norbert Animal Hospital,Vet Strategy,Winnipeg
St. Vital Veterinary Hospital,Vet Strategy,Winnipeg
Sunrise Animal Hospital,Vet Strategy,"Mount Pearl, N.L."
Sydney Animal Hospital,Vet Strategy,"Sydney, N.S."
Talbot Animal Clinic,Vet Strategy,"Thomas, Ont."
Taunton Road Animal Hospital,Vet Strategy,"Oshawa, Ont."
Timberlea Animal Hospital,Vet Strategy,"Timberlea, N.S."
Torbay Animal Hospital,Vet Strategy,St. John's
Toronto Animal Health Partners (AHP),Vet Strategy,"North York, Ont."
Tranquille Road Animal Hospital,Vet Strategy,"Kamloops, B.C."
Trenant Park Pet Clinic,Vet Strategy,"Delta, B.C."
Tuxedo Animal Hospital,Vet Strategy,Winnipeg
Twin Rivers Animal Hospital,Vet Strategy,"Kamloops, B.C."
Upper Bathurst Animal Clinic,Vet Strategy,"North York, Ont."
Valley Veterinary Services,Vet Strategy,"Chilliwack, B.C."
Van Isle Veterinary Hospital,Vet Strategy,"Courtenay, B.C."
Vaughan-Richmond Hill Veterinary Emergency Clinic,Vet Strategy,"Richmond Hill, Ont."
Veterinary Specialty Centre of Newfoundland and Labrador (VSCNL),Vet Strategy,"Mount Pearl, N.L."
Walden Animal Hospital,Vet Strategy,"Lively, Ont."
Walker Road Animal Hospital,Vet Strategy,"Windsor, Ont."
Waterview Animal Hospital,Vet Strategy,"Miramichi, N.B."
Watzin Veterinary Clinic,Vet Strategy,"Waterdown, Ont."
Wellesley Animal Hospital,Vet Strategy,Toronto
West Brant Animal Hospital,Vet Strategy,"Brantford, Ont."
West Hill Animal Clinic,Vet Strategy,"Scarborough, Ont."
Westbridge Veterinary Hospital,Vet Strategy,"Mississauga, Ont."
Westcoast Animal Veterinary Emergency Specialty Hospital (WAVES),Vet Strategy,Victoria
Westwood Veterinary Hospital,Vet Strategy,Winnipeg
Westwood Hills Veterinary Hospital (PetFocus),Vet Strategy,"Upper Tantallon, N.S."
Wilson’s Animal Hospital,Vet Strategy,"St. Catharines, Ont."
Woodbridge Animal Hospital,Vet Strategy,"Woodbridge, Ont."
York Mills Animal Hospital,Vet Strategy,Toronto
Animal 911 Hôpital vétérinaire,Vet Strategy,"Roxboro, Que."
Bureau vétérinaire Anima-Plus Sainte-Brigitte (Anima-Plus),Vet Strategy,"Sainte-Brigitte-de-Laval, Que."
Bureau vétérinaire Saint-Amable,Vet Strategy,"Saint-Amable, Que."
Bureau vétérinaire St-Joseph-du-Lac,Vet Strategy,"Saint-Joseph-du-Lac, Que."
Carrefour Santé Animale,Vet Strategy,"Sherbrooke, Que."
Centre vétérinaire Daubigny (24 hours),Vet Strategy,Quebec City
Clinique Médecin vétérinaire de St-Louis (Globalvet),Vet Strategy,Montreal
Clinique vétérinaire Anima-Plus Neufchatel,Vet Strategy,Quebec City
Clinique vétérinaire Anima-Plus Rock Forest,Vet Strategy,"Sherbrooke, Que."
Clinique vétérinaire Basses-Laurentides,Vet Strategy,"Boisbriand, Que."
Clinique vétérinaire Beaubien,Vet Strategy,Montreal
Clinique vétérinaire Beauce-Appalaches (Globalvet),Vet Strategy,"Saint-Georges, Que."
Clinique vétérinaire Beauceville,Vet Strategy,"Beauceville, Que."
Clinique vétérinaire Beauport (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire Bedford,Vet Strategy,"Bedford, Que."
Clinique vétérinaire Bellefeuille,Vet Strategy,"Saint-Jérôme, Que."
Clinique vétérinaire Cap-Rouge (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire Caron (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire Centrale de Sherbrooke,Vet Strategy,"Sherbrooke, Que."
Clinique vétérinaire Cowansville,Vet Strategy,"Cowansville, Que."
Clinique vétérinaire de l’Estuaire – Amqui,Vet Strategy,"Amqui, Que."
Clinique vétérinaire de l’Estuaire – Mont Joli,Vet Strategy,"Mont-Joli, Que."
Clinique vétérinaire de l’Estuaire – Rimouski,Vet Strategy,"Rimouski, Que."
Clinique vétérinaire de Hull,Vet Strategy,"Gatineau, Que."
Clinique vétérinaire de L’lle Jésus (Globalvet),Vet Strategy,"Laval, Que."
Clinique vétérinaire de la Mennais (Globalvet),Vet Strategy,"La Prairie, Que."
Clinique vétérinaire de la Promenade (Globalvet),Vet Strategy,Montreal
Clinique vétérinaire de l’Anode,Vet Strategy,"Rouyn-Noranda, Que."
Clinique vétérinaire de Luceville,Vet Strategy,"Sainte-Luce, Que."
Clinique vétérinaire de Santé Animale de l’Estrie,Vet Strategy,"Sherbrooke, Que."
Clinique vétérinaire Demers,Vet Strategy,"Sorel-Tracy, Que."
